t,wx,wy,wz
0,0.0,0.0,0.0
0.01,0.0,0.0,0.0
0.02,0.0,0.0,0.0
0.03,0.0,0.0,0.0
0.04,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.06,0.0,0.0,0.0
0.07,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.11,0.0,0.0,0.0
0.12,0.0,0.0,0.0
0.13,0.0,0.0,0.0
0.14,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.16,0.0,0.0,0.0
0.17,0.0,0.0,0.0
0.18,0.0,0.0,0.0
0.19,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.21,0.0,0.0,0.0
0.22,0.0,0.0,0.0
0.23,0.0,0.0,0.0
0.24,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.26,0.0,0.0,0.0
0.27,0.0,0.0,0.0
0.28,0.0,0.0,0.0
0.29,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.31,0.0,0.0,0.0
0.32,0.0,0.0,0.0
0.33,0.0,0.0,0.0
0.34,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0
0.36,-1.66e-05,-3.32e-05,0.0
0.37,-0.00010790000000000001,-0.00019920000000000002,0.0
0.38,-0.0002075,-0.0003652,0.0
0.39,-0.0003154,-0.0005312,0.0
0.4,-0.0004233,-0.0006972,0.0
0.41000000000000003,-0.0005395,-0.0008715,0.0
0.42,-0.0006557000000000001,-0.0010458,0.0
0.43,-0.0007802,-0.0012201,0.0
0.44,-0.000913,-0.0013944,0.0
0.45,-0.0010541,-0.0015687000000000001,0.0
0.46,-0.0011952,-0.001743,0.0
0.47000000000000003,-0.0013446,-0.0019256,0.0
0.48,-0.0015023,-0.0020999,0.0
0.49,-0.0016683,-0.0022742,0.0
0.5,-0.0018426,-0.0024568,0.0
0.51,-0.0020169,-0.0026311,0.0
0.52,-0.0021995,-0.0028137,0.0
0.53,-0.0023904,-0.002988,0.0
0.54,-0.0025896,-0.0031623000000000003,0.0
0.55,-0.0027971,-0.0033449,0.0
0.56,-0.0030046,-0.0035192,0.0
0.5700000000000001,-0.0032287,-0.0036852,0.0
0.58,-0.0034528000000000002,-0.0038595,0.0
0.59,-0.0036935,-0.0040338,0.0
0.6,-0.0039342,-0.0041998,0.0
0.61,-0.0041832,-0.0043658,0.0
0.62,-0.0044405,-0.0045235,0.0
0.63,-0.0047061,-0.0046895,0.0
0.64,-0.0049717,-0.0048472,0.0
0.65,-0.0052539,-0.0049966,0.0
0.66,-0.0055444,-0.005146,0.0
0.67,-0.0058349000000000005,-0.0052954000000000005,0.0
0.68,-0.006142,-0.0054365,0.0
0.6900000000000001,-0.0064491,-0.0055776,0.0
0.7000000000000001,-0.0067645000000000005,-0.0057104,0.0
0.71,-0.0070965,-0.0058432,0.0
0.72,-0.0074285,-0.0059677,0.0
0.73,-0.0077688,-0.0060839,0.0
0.74,-0.0081174,-0.0062001,0.0
0.75,-0.0084743,-0.006308,0.0
0.76,-0.0088312,-0.0064076,0.0
0.77,-0.0092047,-0.0065072,0.0
0.78,-0.0095782,-0.0065985,0.0
0.79,-0.00996,-0.0066815,0.0
0.8,-0.010350100000000001,-0.0067562,0.0
0.81,-0.0107485,-0.0068226,0.0
0.8200000000000001,-0.0111552,-0.0068807,0.0
0.8300000000000001,-0.0115619,-0.0069388,0.0
0.84,-0.0119769,-0.0069803,0.0
0.85,-0.0124002,-0.0070218,0.0
0.86,-0.0128235,-0.0070467,0.0
0.87,-0.0132551,-0.0070633,0.0
0.88,-0.013695,-0.0070799,0.0
0.89,-0.0141349,-0.0070799,0.0
0.9,-0.0145831,-0.0070716,0.0
0.91,-0.015031300000000001,-0.0070550000000000005,0.0
0.92,-0.0154878,-0.0070218,0.0
0.93,-0.0159443,-0.0069886,0.0
0.9400000000000001,-0.0164091,-0.0069388,0.0
0.9500000000000001,-0.0168656,-0.0068724,0.0
0.96,-0.017338700000000002,-0.006806,0.0
0.97,-0.0178035,-0.006723,0.0
0.98,-0.0182766,-0.0066317,0.0
0.99,-0.018741400000000002,-0.0065238,0.0
1.0,-0.0192145,-0.0064076,0.0
1.01,-0.0196876,-0.0062831,0.0
1.02,-0.0201607,-0.006142,0.0
1.03,-0.0206255,-0.0059926,0.0
1.04,-0.021098600000000002,-0.0058266,0.0
1.05,-0.0215634,-0.0056523,0.0
1.06,-0.0220282,-0.0054614,0.0
1.07,-0.0224847,-0.0052622,0.0
1.08,-0.022941200000000002,-0.0050464,0.0
1.09,-0.0233977,-0.0048223,0.0
1.1,-0.0238459,-0.0045816,0.0
1.11,-0.0242858,-0.0043243,0.0
1.12,-0.0247257,-0.004067,0.0
1.1300000000000001,-0.0251573,-0.0037848,0.0
1.1400000000000001,-0.025580600000000002,-0.0034943,0.0
1.1500000000000001,-0.0259956,-0.0031955,0.0
1.16,-0.026394,-0.0028801,0.0
1.17,-0.0267924,-0.0025481,0.0
1.18,-0.0271742,-0.0022078,0.0
1.19,-0.0275477,-0.0018592,0.0
1.2,-0.0279129,-0.001494,0.0
1.21,-0.028261500000000002,-0.0011205,0.0
1.22,-0.0286018,-0.0007304,0.0
1.23,-0.0289172,-0.000332,0.0
1.24,-0.0292243,7.47e-05,0.0
1.25,-0.0295231,0.000498,0.0
1.26,-0.029797,0.0009296,0.0
1.27,-0.0300543,0.0013695,0.0
1.28,-0.030295,0.0018177,0.0
1.29,-0.0305191,0.0022825000000000002,0.0
1.3,-0.0307183,0.0027473000000000003,0.0
1.31,-0.030900900000000002,0.0032287,0.0
1.32,-0.0310669,0.0037101,0.0
1.33,-0.031208,0.0042081,0.0
1.34,-0.0313242,0.0047061,0.0
