t,bgx,bgy,bgz
0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0
0.02,0.0,0.0,0.0
0.03,0.0,0.0,0.0
0.04,0.0,0.0,0.0
0.05,0.0,0.0,0.0
0.06,0.0,0.0,0.0
0.07,0.0,0.0,0.0
0.08,0.0,0.0,0.0
0.09,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.11,0.0,0.0,0.0
0.12,0.0,0.0,0.0
0.13,0.0,0.0,0.0
0.14,0.0,0.0,0.0
0.15,0.0,0.0,0.0
0.16,0.0,0.0,0.0
0.17,0.0,0.0,0.0
0.18,0.0,0.0,0.0
0.19,0.0,0.0,0.0
0.2,0.0,0.0,0.0
0.21,0.0,0.0,0.0
0.22,0.0,0.0,0.0
0.23,0.0,0.0,0.0
0.24,0.0,0.0,0.0
0.25,0.0,0.0,0.0
0.26,0.0,0.0,0.0
0.27,0.0,0.0,0.0
0.28,0.0,0.0,0.0
0.29,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.31,0.0,0.0,0.0
0.32,0.0,0.0,0.0
0.33,0.0,0.0,0.0
0.34,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0
0.36,-1.1762722415114942e-08,-5.52257318905434e-10,-1.520262774887988e-28
0.37,-3.342064050637698e-08,1.6499214101018344e-08,8.626787824486538e-27
0.38,-4.5658152015639815e-08,3.7275324261509404e-08,5.305471368894589e-26
0.39,-3.013888035068942e-08,4.9046385940011914e-08,-1.2220248366710996e-25
0.4,-2.124140769840173e-08,4.0147530890495504e-08,-1.4792457906570615e-24
0.41000000000000003,-2.139571845667408e-09,5.190187463428155e-08,-3.0629667716520435e-24
0.42,-8.74167215741466e-09,7.463392905914782e-08,-4.737547616554461e-24
0.43,-2.567149851854159e-08,9.979045358321142e-08,-6.391297137094978e-24
0.44,-3.8440003936001115e-08,1.199840707859383e-07,-9.161380674156229e-24
0.45,-3.338707827158105e-08,1.2900297832309458e-07,-1.2290821941777495e-23
0.46,-4.949446718974868e-08,1.2180664910017273e-07,-1.5515573079983733e-23
0.47000000000000003,-7.439717373840423e-08,1.4637376066025055e-07,-1.8695502444792193e-23
0.48,-9.649850274012422e-08,1.478966281616385e-07,-2.4507258589297198e-23
0.49,-1.0495405391214147e-07,1.249300572995338e-07,-2.6348397591027315e-23
0.5,-8.963172749269688e-08,1.2905692519482037e-07,-2.7232713952742e-23
0.51,-9.292482880826728e-08,1.0912741377163395e-07,-2.619564993988485e-23
0.52,-1.057516821863989e-07,1.1919257821552134e-07,-2.187190847347872e-23
